Id,Label,Interval
0,A,
1,A13,
2,A6,
3,A7,
4,A7.3-.5-.9-.11-.13-,
5,A7.5+,
6,A7.5+.9,
7,A7.5+.9+,
8,A7.5+.9-,
9,A7.5-,
10,A7.5-.9-,
11,A7.9-.5+,
12,A9,
13,A9+,
14,A9-,
15,Ab,
16,Ab11+,
17,Ab13,
18,Ab6,
19,Ab7,
20,Ab7.5+,
21,Ab7.5-,
22,Ab9,
23,Abaug,
24,Abdim,
25,Abdim7,
26,Abm7,
27,Abm9,
28,Abmaj7,
29,Adim,
30,Adim7,
31,Am,
32,Am11,
33,Am5+,
34,Am6,
35,Am7,
36,Am7.5+,
37,Am7.5-,
38,Am7.9,
39,Am9,
40,Amaj7,
41,Amaj9,
42,B,
43,B6,
44,B6.9,
45,B7,
46,B7.3-.5-.9-.11-.13-,
47,B7.5+,
48,B7.5+.9+,
49,B7.5-,
50,B7.5-.9-,
51,B9,
52,B9-,
53,Bb,
54,Bb13,
55,Bb6,
56,Bb6.9,
57,Bb7,
58,Bb7.5+,
59,Bb7.5+.9,
60,Bb7.5-,
61,Bb9,
62,Bb9-,
63,Bb9.11+,
64,Bbaug,
65,Bbdim,
66,Bbdim7,
67,Bbm,
68,Bbm6,
69,Bbm7,
70,Bbm7.5-,
71,Bbmaj,
72,Bbmaj7,
73,Bbmaj7.11+,
74,Bbmaj9,
75,Bdim,
76,Bdim7,
77,Bm,
78,Bm11,
79,Bm7,
80,Bm7.5-,
81,Bm7.9-,
82,Bmaj7,
83,Bsus4.7,
84,C,
85,C11,
86,C13,
87,C6,
88,C6.9,
89,C7,
90,C7.5+,
91,C7.5+.9,
92,C7.5-,
93,C9,
94,C9+,
95,C9-,
96,Caug,
97,Cdim,
98,Cdim7,
99,Cm,
100,Cm11,
101,Cm6,
102,Cm7,
103,Cm9,
104,Cmaj,
105,Cmaj7,
106,Cmaj9,
107,D,
108,D7,
109,D7.5+,
110,D7.5-,
111,D9,
112,D9-,
113,Db,
114,Db6,
115,Db7,
116,Db7.5-,
117,Db9,
118,Db9+,
119,Db9-,
120,Dbdim,
121,Dbdim7,
122,Dbm,
123,Dbm7,
124,Dbm7.5-,
125,Dbmaj7,
126,Dbmaj9,
127,Ddim,
128,Ddim7,
129,Dm,
130,Dm11,
131,Dm6,
132,Dm6.9,
133,Dm7,
134,Dm7.5+,
135,Dm7.5-,
136,Dm7.9,
137,Dm9,
138,Dmaj,
139,Dmaj7,
140,E,
141,E6,
142,E7,
143,E7.5+,
144,E7.5+.9+,
145,E7.5+.9-,
146,E7.5-,
147,E7.5-.9-,
148,E9,
149,E9+,
150,E9-,
151,Eaug,
152,Eb,
153,Eb6,
154,Eb7,
155,Eb7.5+,
156,Eb7.5-,
157,Eb9,
158,Eb9+,
159,Eb9-,
160,Eb9.11+,
161,Ebaug,
162,Ebdim,
163,Ebdim7,
164,Ebm7,
165,Ebmaj7,
166,Edim,
167,Edim7,
168,Em,
169,Em6,
170,Em7,
171,Em7.5+,
172,Em7.5-,
173,Emaj7,
174,F,
175,F13,
176,F6,
177,F6.9,
178,F7,
179,F7.5+,
180,F7.5-,
181,F9,
182,F9-,
183,F9.11+,
184,Faug,
185,Fdim7,
186,Fm,
187,Fm6,
188,Fm7,
189,Fm7.5-,
190,Fm7.7+,
191,Fmaj7,
192,Fmaj9,
193,G,
194,G11,
195,G13,
196,G5.11,
197,G6,
198,G7,
199,G7.3-.5-.9-.11-.13-,
200,G7.5+,
201,G7.5+.9,
202,G7.5+.9-,
203,G7.5-,
204,G7.5-.9-,
205,G9,
206,G9+,
207,G9-,
208,Gaug,
209,Gb,
210,Gb11+,
211,Gb13,
212,Gb6,
213,Gb7,
214,Gb7.5+,
215,Gb7.5-,
216,Gb7.5-.9+,
217,Gb9,
218,Gb9+,
219,Gb9-,
220,Gbdim,
221,Gbdim7,
222,Gbm,
223,Gbm11,
224,Gbm7,
225,Gbm7.5-,
226,Gbm9,
227,Gbmaj7,
228,Gdim,
229,Gdim7,
230,Gm,
231,Gm11,
232,Gm6,
233,Gm7,
234,Gm7.5-,
235,Gm7.9,
236,Gm9,
237,Gmaj7,
238,Gmaj9,
239,Gsus4.7,
240,Gsus4.9,
